,1960,1930,1950,1970,1940,1980,1990,2000,2010
1,"[['Folk'], [0.821016330098048]]","[['Jazz'], [0.9637916135329487]]","[['Blues'], [0.9481390702099648]]","[['R&B;'], [0.604508859321879]]","[['International'], [0.9413152652165313]]","[['Pop/Rock'], [0.9272853209506002]]","[['Pop/Rock'], [0.9290224280080239]]","[['Pop/Rock'], [0.9750537992440529]]","[['Pop/Rock'], [0.9929896652570946]]"
2,"[['Country'], [0.7635774621737585]]","[['Vocal'], [0.9568720772362075]]","[['Folk'], [0.9154988631288681]]","[['International'], [0.5912403442085354]]","[['Vocal'], [0.9149581673449492]]","[['Electronic'], [0.5201840209058713]]","[['Religious'], [0.576574175010913]]","[['Country'], [0.8229066616127183]]","[['Electronic'], [0.963066948708948]]"
3,"[['International'], [0.7616921042223981]]","[['Folk'], [0.954049565672082]]","[['Country'], [0.8627345485523388]]","[['Blues'], [0.5022496096660559]]","[['Jazz'], [0.9057183029472505]]","[['Unknown'], [0.463897338080218]]","[['Country'], [0.5433146823670346]]","[['R&B;'], [0.7838367033097391]]","[['R&B;'], [0.898036345163937]]"
4,"[['Pop/Rock'], [0.6959431563046975]]","[['Stage & Screen'], [0.9059391851829313]]","[['Vocal'], [0.8522141614097071]]","[['Pop/Rock'], [0.45214682753394086]]","[['Folk'], [0.8962738386867098]]","[['Latin'], [0.19292852497256838]]","[['R&B;'], [0.5083414393907405]]","[['Electronic'], [0.7614785168222278]]","[['Country'], [0.8327722394503703]]"
5,"[['Vocal'], [0.6926709494415746]]","[['Blues'], [0.875676496532088]]","[['Latin'], [0.8327086853616527]]","[['Electronic'], [0.3916688892274105]]","[['Blues'], [0.8790334262918185]]","[['R&B;'], [0.1868825893001011]]","[['Electronic'], [0.5012533635899825]]","[['Religious'], [0.6934914292110592]]","[['Latin'], [0.8128470719480387]]"
6,"[['R&B;'], [0.6567662075812115]]","[['Country'], [0.8408659820137012]]","[['International'], [0.7826792694900637]]","[['Reggae'], [0.38408953237782434]]","[['Classical'], [0.8596868339632229]]","[['Religious'], [-0.020297080087569093]]","[['Latin'], [0.3917535449673625]]","[['Latin'], [0.6553341808180952]]","[['Religious'], [0.1739976426247786]]"
7,"[['Latin'], [0.6334563035409737]]","[['Latin'], [0.8074550412911724]]","[['Pop/Rock'], [0.7788388248204846]]","[['Country'], [0.3813624827327461]]","[['Easy Listening'], [0.8482609751989196]]","[['Reggae'], [-0.03803950564052326]]","[['Reggae'], [0.3329851817350149]]","[['Reggae'], [0.5140886835533733]]","[['Easy Listening'], [-0.08681909051206456]]"
8,"[['Classical'], [0.490945654071734]]","[['Classical'], [0.8063742736537363]]","[['R&B;'], [0.7557713237829344]]","[['Jazz'], [0.36213875257031186]]","[['Country'], [0.8266289933670443]]","[['Country'], [-0.1568880713594488]]","[['Easy Listening'], [0.10072590643475923]]","[['Vocal'], [0.15556135709201316]]","[['Classical'], [-0.7014632196709181]]"
9,"[['Easy Listening'], [0.49033855843648266]]","[['Religious'], [0.8008608112721799]]","[[""Children's""], [0.7498073640813477]]","[['Unknown'], [0.32389485688588243]]","[['R&B;'], [0.8195172080136153]]","[['Classical'], [-0.17312448459511676]]","[['International'], [-0.07238523307296879]]","[['Comedy/Spoken'], [-0.004440306033866692]]",
10,"[['Jazz'], [0.47860543959360036]]","[['Easy Listening'], [0.7975492143831819]]","[['Jazz'], [0.7492860365481491]]","[['Latin'], [0.2834651075593153]]","[['Latin'], [0.8084507137443181]]","[['Comedy/Spoken'], [-0.18183856828217942]]","[['Comedy/Spoken'], [-0.08055815727209448]]","[['Stage & Screen'], [-0.0267399117766028]]",
11,"[['Religious'], [0.4778132250670359]]","[['Comedy/Spoken'], [0.7359627799102801]]","[['Easy Listening'], [0.6979515522263694]]","[['Avant-Garde'], [0.25275477910664595]]","[['Stage & Screen'], [0.8034865154246418]]","[['Stage & Screen'], [-0.25456322569104534]]","[['Classical'], [-0.1927319425415832]]","[['Jazz'], [-0.07341996445458146]]",
12,"[['Stage & Screen'], [0.46648281974746797]]","[['International'], [0.663333931572244]]","[['Avant-Garde'], [0.6957871328245011]]","[['New Age'], [0.10737187460409768]]","[['Reggae'], [0.7092248809190467]]","[['Jazz'], [-0.25933605310625707]]","[['Vocal'], [-0.2250700228942983]]","[['Folk'], [-0.2365465045526211]]",
